text,label
I couldn't stop smiling when I saw my friends waiting for me,1
My heart raced when I heard footsteps behind me in the dark,4
I still remember the warmth of your hug that night,2
I was shocked when the teacher suddenly announced a surprise test,5
The rain reminded me of the day we said goodbye,0
He slammed the door after the heated argument,3
I laughed so hard that my stomach hurt,1
My hands trembled as the thunder roared outside,4
Seeing the birthday party they prepared for me left me speechless,5
I miss those days when everything felt simple and happy,0
Her kind words filled my heart with affection,2
I felt furious when they blamed me for something I didn't do,3
The empty room made me feel incredibly lonely,0
The roller coaster was scary but exciting at the same time,4
I couldn't believe they flew all the way here just to see me,5
I felt pure happiness when I achieved my goal,1
Every moment with you feels special to me,2
He shouted loudly after losing the game,3
Tears rolled down my face when the movie ended sadly,0
I jumped in excitement when I got the job offer,1
The strange noise outside made me freeze in fear,4
I was amazed when the magician made the coin disappear,5
Holding your hand makes me feel safe and loved,2
She glared at me with obvious anger,3
I felt a deep sadness looking at old photos,0
Winning the competition filled me with joy,1
My heart pounded as I walked through the dark hallway,4
They suddenly threw a surprise party for me,5
I adore the way you always support me,2
He clenched his fists in frustration,3
The silence after the argument made me feel empty,0
I felt delighted when my family visited me,1
I was terrified when the lights suddenly went out,4
I gasped when I saw the unexpected gift,5
I cherish every memory we made together,2
She yelled angrily when the plan failed,3
I felt heartbroken when my best friend moved away,0
The festival lights made everyone cheerful,1
My legs shook as I stood on the edge of the cliff,4
The sudden fireworks startled everyone,5
You mean the world to me,2
He lost his temper over a small mistake,3
Listening to that song makes me feel so sad,0
We celebrated and danced with happiness,1
I was scared to open the mysterious message,4
I couldn't believe my eyes when I saw the results,5
Your smile always brightens my day,2
He spoke with obvious irritation,3
The lonely road made me feel gloomy,0
My friends and I celebrated with laughter all night,1
A shadow moved and it frightened me instantly,4
Everyone was stunned by the unexpected announcement,5
I love the way you understand me without words,2
His angry voice echoed across the room,3
The farewell at the airport was painfully sad,0
I felt joyful watching the sunset with friends,1
The loud crash downstairs filled me with fear,4
I was surprised to see snow for the first time,5
Being with you makes my heart feel full,2
I feel rage building inside,3
I love how things are going,1
I'm terrified of losing everything,4
I'm furious about what happened,3
My patience is gone,3
I love how things are going,1
I can't stop thinking about what I lost,0
I love how things are going,1
This situation is frustrating,3
This is such a surprise,5
It hurts remembering that moment,0
I feel very sad today,0
I love how things are going,1
I'm terrified of losing everything,4
I cherish our memories together,2
This situation worries me,4
I'm shocked by the news,5
I feel warm whenever I see you,2
I feel nervous and uneasy,4
My patience is gone,3
I care deeply about you,2
I'm terrified of losing everything,4
I feel rage building inside,3
I appreciate every moment with you,2
What an unexpected moment,5
That twist amazed me,5
Something feels wrong,4
I love how things are going,1
Today feels darker than usual,0
This place gives me chills,4
I'm grateful for this day,1
Life feels beautiful right now,1
I'm furious about what happened,3
That was completely unfair,3
I can't tolerate this anymore,3
I can't believe what just happened,5
I feel warm whenever I see you,2
This moment brings me pure happiness,1
I appreciate every moment with you,2
I feel full of positive energy,1
I never saw that coming,5
This is the happiest moment of my life,1
Life feels beautiful right now,1
Tears keep falling silently,0
I can't believe what just happened,5
Something feels wrong,4
I cherish our memories together,2
Life feels beautiful right now,1
Love makes everything brighter,2
I feel full of positive energy,1
I can't stop worrying,4
This is such a surprise,5
I feel nervous and uneasy,4
I feel lonely tonight,0
You are always in my thoughts,2
This situation is frustrating,3
I miss the good old days,0
It hurts remembering that moment,0
I'm scared about what might happen,4
My patience is gone,3
This is completely unexpected,5
It hurts remembering that moment,0
Everything feels empty,0
I feel amazing today,1
I feel danger around me,4
It hurts remembering that moment,0
This situation worries me,4
I appreciate every moment with you,2
This situation worries me,4
I feel amazing today,1
That was completely unfair,3
Today is a great day,1
This is such a surprise,5
Life feels beautiful right now,1
Being with you feels special,2
Love makes everything brighter,2
My patience is gone,3
I feel amazing today,1
This is such a surprise,5
Everything feels empty,0
I'm afraid of the outcome,4
I never saw that coming,5
Something feels wrong,4
I can't tolerate this anymore,3
Something feels wrong,4
That was completely unfair,3
I feel lonely tonight,0
I never saw that coming,5
I love how things are going,1
I feel amazing today,1
I didn't expect that at all,5
You are always in my thoughts,2
I'm really upset about this,3
Why does this keep happening,3
I feel amazing today,1
I can't believe what just happened,5
Tears keep falling silently,0
I love how things are going,1
I feel lonely tonight,0
My patience is gone,3
Today feels darker than usual,0
I can't tolerate this anymore,3
I can't believe what just happened,5
I feel rage building inside,3
I can't believe what just happened,5
I'm grateful for this day,1
I feel very sad today,0
My heart is racing with fear,4
This place gives me chills,4
This is completely unexpected,5
That twist amazed me,5
Why does this keep happening,3
I feel lonely tonight,0
I'm really upset about this,3
Wow that surprised me,5
Today feels darker than usual,0
Something feels wrong,4
That twist amazed me,5
This situation worries me,4
Life feels beautiful right now,1
This is the happiest moment of my life,1
My heart belongs to you,2
My patience is gone,3
That twist amazed me,5
I feel full of positive energy,1
Tears keep falling silently,0
I feel lonely tonight,0
You are always in my thoughts,2
You are always in my thoughts,2
I can't stop worrying,4
You are always in my thoughts,2
I can't tolerate this anymore,3
I'm terrified of losing everything,4
This is such a surprise,5
This makes me so angry,3
That twist amazed me,5
I didn't expect that at all,5
Tears keep falling silently,0
I'm furious about what happened,3
I can't believe what just happened,5
Today is a great day,1
I feel warm whenever I see you,2
I'm furious about what happened,3
I feel danger around me,4
I care deeply about you,2
You are always in my thoughts,2
That was completely unfair,3
I'm furious about what happened,3
I appreciate every moment with you,2
Wow that surprised me,5
Why does this keep happening,3
That was completely unfair,3
I feel nervous and uneasy,4
I can't accept this behavior,3
It hurts remembering that moment,0
Something feels wrong,4
I feel rage building inside,3
Being with you feels special,2
I appreciate every moment with you,2
I'm scared about what might happen,4
I can't believe what just happened,5
Something feels wrong,4
I appreciate every moment with you,2
I can't stop thinking about what I lost,0
I appreciate every moment with you,2
I feel nervous and uneasy,4
This moment brings me pure happiness,1
This makes me so angry,3
I care deeply about you,2
Wow that surprised me,5
Wow that surprised me,5
I care deeply about you,2
I can't stop smiling,1
Something feels wrong,4
That came out of nowhere,5
I wish things were different,0
Being with you feels special,2
I feel danger around me,4
This is such a surprise,5
I feel danger around me,4
I feel rage building inside,3
That came out of nowhere,5
Today is a great day,1
Being with you feels special,2
What an unexpected moment,5
Today is a great day,1
This is completely unexpected,5
I feel warm whenever I see you,2
I wish things were different,0
I feel warm whenever I see you,2
I appreciate every moment with you,2
Life feels beautiful right now,1
This situation worries me,4
I cherish our memories together,2
Love makes everything brighter,2
Something feels wrong,4
I didn't expect that at all,5
This is the happiest moment of my life,1
My heart is full of love,2
Love makes everything brighter,2
I'm grateful for this day,1
My patience is gone,3
It hurts remembering that moment,0
My heart feels heavy,0
I can't stop worrying,4
I wish things were different,0
I never saw that coming,5
I'm shocked by the news,5
My heart is racing with fear,4
I cherish our memories together,2
Everything feels wonderful,1
Life feels beautiful right now,1
I feel nervous and uneasy,4
That was completely unfair,3
I'm scared about what might happen,4
This is completely unexpected,5
Tears keep falling silently,0
Tears keep falling silently,0
I can't accept this behavior,3
Tears keep falling silently,0
Why does this keep happening,3
This is the happiest moment of my life,1
I can't stop smiling,1
This situation is frustrating,3
Being with you feels special,2
This makes me so angry,3
Life feels beautiful right now,1
I'm furious about what happened,3
Wow that surprised me,5
Tears keep falling silently,0
I'm really upset about this,3
My heart is full of love,2
I can't stop thinking about what I lost,0
Today feels darker than usual,0
I feel rage building inside,3
I'm scared about what might happen,4
I care deeply about you,2
I feel amazing today,1
I wish things were different,0
That twist amazed me,5
Today feels darker than usual,0
My heart is full of love,2
I can't tolerate this anymore,3
I appreciate every moment with you,2
That came out of nowhere,5
I can't stop smiling,1
I can't stop smiling,1
That twist amazed me,5
This place gives me chills,4
I can't stop worrying,4
My heart feels heavy,0
This makes me so angry,3
This situation worries me,4
This is such a surprise,5
I appreciate every moment with you,2
My heart feels heavy,0
I feel full of positive energy,1
I feel nervous and uneasy,4
I can't accept this behavior,3
I can't accept this behavior,3
I can't stop thinking about what I lost,0
Something feels wrong,4
I didn't expect that at all,5
This is the happiest moment of my life,1
This moment brings me pure happiness,1
I'm furious about what happened,3
Wow that surprised me,5
